ID;Departamento;Capital;Latitud;Longitud;LABEL
1;Amazonas;Chachapoyas;-4.9826526;-79.0434819;AMAZONAS
2;Áncash;Huaraz;-9.4135975;-78.8132866;ANCASH
3;Apurímac;Abancay;-14.004746;-73.5097702;APURIMAC
4;Arequipa;Arequipa;-15.9531464;-74.0603934;AREQUIPA
5;Ayacucho;Ayacucho;-13.8937469;-75.1145333;AYACUCHO
6;Cajamarca;Cajamarca;-6.1898657;-79.7211147;CAJAMARCA
7;Callao;Callao;-11.9492152;-77.2021634;CALLAO
8;Cusco;Cusco;-13.3156853;-73.2842977;CUSCO
9;Huancavelica;Huancavelica;-13.0553585;-75.6002056;HUANCAVELICA
10;Huánuco;Huánuco;-9.3950107;-76.4818684;HUANUCO
11;Ica;Ica;-14.1989644;-76.6432688;ICA
12;Junín;Huancayo;-11.6666693;-75.497626;JUNIN
13;La Libertad;Trujillo;-8.0237507;-79.3432209;LA LIBERTAD
14;Lambayeque;Chiclayo;-6.3269918;-80.43432;LAMBAYEQUE
15;Lima;Lima;-11.7939058;-77.8179529;LIMA
16;Loreto;Iquitos;-4.3686795;-76.1311086;LORETO
17;Madre de Dios;Puerto Maldonado;-11.6194557;-71.6617086;MADRE DE DIOS
18;Moquegua;Moquegua;-16.8966982;-71.3031694;MOQUEGUA
19;Pasco;Cerro de Pasco;-10.2989032;-75.9915867;PASCO
20;Piura;Piura;-5.2244577;-80.8294956;PIURA
21;Puno;Puno;-15.1442746;-71.0876242;PUNO
22;San Martín;Moyobamba;-7.0973082;-77.7524566;SAN MARTIN
23;Tacna;Tacna;-17.5583839;-70.8636966;TACNA
24;Tumbes;Tumbes;-4.9758132;-83.883973;TUMBES
25;Ucayali;Pucallpa;-9.3507244;-74.3412678;UCAYALI
